[2026-04-06 13:20:54] MicroStrategy sells any Bitcoin by ___ ? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:29:23] MicroStrategy sells any Bitcoin by ___ ? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:29:34] MicroStrategy sells any Bitcoin by ___ ? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:29:46] Kraken IPO by ___ ? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:29:57] Macron out by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:30:09] UK election called by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:30:20] China x India military clash by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:30:31] NATO/EU troops fighting in Ukraine by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:30:43] Starmer out by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:30:54] Starmer out by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:31:06] Starmer out by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:31:17] Ukraine recognizes Russian sovereignty over its territory by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:31:29] Ukraine recognizes Russian sovereignty over its territory by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:31:40] Ukraine election called by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:31:52] Will any country leave NATO by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:32:03] Will any country leave NATO by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:32:14] Ukraine election held by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:32:26] Ukraine election held by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:32:37] Taylor Swift pregnant in 2025? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:32:49] Mike Johnson out as Speaker by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:33:00] Mike Johnson out as Speaker by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:33:12] What will happen before GTA VI? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:33:23] What will happen before GTA VI? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:33:35] What will happen before GTA VI? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:33:46] What will happen before GTA VI? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:33:58] What will happen before GTA VI? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:34:09] What will happen before GTA VI? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:34:20] What will happen before GTA VI? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:34:32] What will happen before GTA VI? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:34:43] What will happen before GTA VI? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:34:55] GTA VI released before June 2026? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:35:06] Harvey Weinstein prison time? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:35:18] Harvey Weinstein prison time? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:35:29] Harvey Weinstein prison time? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:35:41] Harvey Weinstein prison time? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:35:52] Harvey Weinstein prison time? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:36:03] Harvey Weinstein prison time? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:36:15] Will OpenAI launch a consumer hardware product by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:36:26] Will Russia capture Kostyantynivka by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:36:38] Will Russia capture Kostyantynivka by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:36:49] Will Russia capture Kostyantynivka by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:37:01] Spain snap election called by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:37:12] US x Russia military clash by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:37:24] US x Russia military clash by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:37:51] MicroStrategy sells any Bitcoin by ___ ? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:38:03] MicroStrategy sells any Bitcoin by ___ ? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:38:14] Kraken IPO by ___ ? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:38:25] Macron out by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:38:37] UK election called by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:38:48] China x India military clash by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:39:00] NATO/EU troops fighting in Ukraine by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:39:11] Starmer out by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:39:23] Starmer out by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:39:34] Starmer out by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:39:46] Ukraine recognizes Russian sovereignty over its territory by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:39:57] Ukraine recognizes Russian sovereignty over its territory by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:40:09] Ukraine election called by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:40:20] Will any country leave NATO by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:40:32] Will any country leave NATO by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:40:43] Ukraine election held by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:40:54] Ukraine election held by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:41:06] Taylor Swift pregnant in 2025? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:41:17] Mike Johnson out as Speaker by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:41:29] Mike Johnson out as Speaker by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:41:40] What will happen before GTA VI? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:41:52] What will happen before GTA VI? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:42:03] What will happen before GTA VI? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:42:15] What will happen before GTA VI? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:42:26] What will happen before GTA VI? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:42:37] What will happen before GTA VI? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:42:49] What will happen before GTA VI? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:43:00] What will happen before GTA VI? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:43:12] What will happen before GTA VI? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:43:23] GTA VI released before June 2026? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:43:35] Harvey Weinstein prison time? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:43:46] Harvey Weinstein prison time? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:43:57] Harvey Weinstein prison time? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:44:09] Harvey Weinstein prison time? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:44:20] Harvey Weinstein prison time? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:44:32] Harvey Weinstein prison time? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:44:43] Will OpenAI launch a consumer hardware product by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:44:54] Will Russia capture Kostyantynivka by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:45:06] Will Russia capture Kostyantynivka by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:45:17] Will Russia capture Kostyantynivka by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:45:29] Spain snap election called by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:45:40] US x Russia military clash by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:45:52] US x Russia military clash by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:46:19] MicroStrategy sells any Bitcoin by ___ ? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:46:30] MicroStrategy sells any Bitcoin by ___ ? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:46:42] Kraken IPO by ___ ? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:46:53] Macron out by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:47:04] UK election called by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:47:16] China x India military clash by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:47:27] NATO/EU troops fighting in Ukraine by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:47:39] Starmer out by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:47:50] Starmer out by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:48:02] Starmer out by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:48:17] Ukraine recognizes Russian sovereignty over its territory by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:48:29] Ukraine recognizes Russian sovereignty over its territory by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:48:40] Ukraine election called by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:48:52] Will any country leave NATO by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:49:04] Will any country leave NATO by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:49:15] Ukraine election held by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:49:26] Ukraine election held by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:49:38] Taylor Swift pregnant in 2025? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:49:49] Mike Johnson out as Speaker by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:50:01] Mike Johnson out as Speaker by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-06 13:50:12] What will happen before GTA VI? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 03:34:43] What will happen before GTA VI? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 06:47:55] What will happen before GTA VI? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 06:48:06] What will happen before GTA VI? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 06:48:18] What will happen before GTA VI? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 06:48:29] What will happen before GTA VI? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 06:48:41] What will happen before GTA VI? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 06:48:52] What will happen before GTA VI? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 06:49:04] What will happen before GTA VI? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 06:49:16] GTA VI released before June 2026? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 06:49:27] Harvey Weinstein prison time? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 06:49:39] Harvey Weinstein prison time? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 06:49:51] Harvey Weinstein prison time? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 18:26:00] Harvey Weinstein prison time? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 18:26:11] Harvey Weinstein prison time? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 18:26:23] Harvey Weinstein prison time? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 18:26:34] Will OpenAI launch a consumer hardware product by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 18:26:46] Will Russia capture Kostyantynivka by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 18:26:58] Will Russia capture Kostyantynivka by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 18:27:10] Will Russia capture Kostyantynivka by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:00:37] Spain snap election called by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:00:49] US x Russia military clash by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:01:00] US x Russia military clash by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:01:28] MicroStrategy sells any Bitcoin by ___ ? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:01:39] MicroStrategy sells any Bitcoin by ___ ? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:01:50] Kraken IPO by ___ ? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:02:02] Macron out by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:02:13] UK election called by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:02:25] China x India military clash by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:02:36] NATO/EU troops fighting in Ukraine by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:02:48] Starmer out by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:02:59] Starmer out by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:03:10] Starmer out by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:03:22] Ukraine recognizes Russian sovereignty over its territory by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:03:33] Ukraine recognizes Russian sovereignty over its territory by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:03:45] Ukraine election called by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:03:56] Will any country leave NATO by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:04:08] Will any country leave NATO by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:04:19] Ukraine election held by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:04:31] Ukraine election held by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:04:43] Taylor Swift pregnant in 2025? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:04:54] Mike Johnson out as Speaker by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:05:06] Mike Johnson out as Speaker by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:05:18] What will happen before GTA VI? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:05:29] What will happen before GTA VI? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:05:41] What will happen before GTA VI? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:05:52] What will happen before GTA VI? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:06:04] What will happen before GTA VI? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:06:15] What will happen before GTA VI? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:06:27] What will happen before GTA VI? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:06:38] What will happen before GTA VI? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:06:50] What will happen before GTA VI? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:07:01] GTA VI released before June 2026? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:07:13] Harvey Weinstein prison time? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:07:24] Harvey Weinstein prison time? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:07:35] Harvey Weinstein prison time? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:07:47] Harvey Weinstein prison time? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:07:58] Harvey Weinstein prison time? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:08:10] Harvey Weinstein prison time? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:08:21] Will OpenAI launch a consumer hardware product by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:08:33] Will Russia capture Kostyantynivka by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:08:44] Will Russia capture Kostyantynivka by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:08:55] Will Russia capture Kostyantynivka by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:09:07] Spain snap election called by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:09:18] US x Russia military clash by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:09:30] US x Russia military clash by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:09:57] MicroStrategy sells any Bitcoin by ___ ? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:10:08] MicroStrategy sells any Bitcoin by ___ ? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:10:20] Kraken IPO by ___ ? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:10:31] Macron out by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:10:42] UK election called by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:10:55] China x India military clash by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:11:07] NATO/EU troops fighting in Ukraine by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:11:18] Starmer out by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:11:30] Starmer out by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:11:41] Starmer out by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:11:52] Ukraine recognizes Russian sovereignty over its territory by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:12:04] Ukraine recognizes Russian sovereignty over its territory by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:12:15] Ukraine election called by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:12:27] Will any country leave NATO by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:12:38] Will any country leave NATO by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:12:50] Ukraine election held by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:13:01] Ukraine election held by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:13:13] Taylor Swift pregnant in 2025? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:13:24] Mike Johnson out as Speaker by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:13:35] Mike Johnson out as Speaker by...? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:13:47] What will happen before GTA VI? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:13:58] What will happen before GTA VI? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:14:10] What will happen before GTA VI? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:14:21] What will happen before GTA VI? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:14:32] What will happen before GTA VI? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:14:44] What will happen before GTA VI? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:14:55] What will happen before GTA VI? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
[2026-04-07 20:15:07] What will happen before GTA VI? | 成本: 10.0 USDC | 淨利潤: +0.0 USDC
